account_id,date,total_number_of_orders,avg_person_money,total_money
62e235011505f86c9bbdbd2c,-22,1,49500,49500
62dc2f931505f82107f1644b,-29,3,20000,60000
62e9e15d1505f8c1cf2b5bf3,-15,1,20000,20000
62edf9e81505f8c1cf2d21ec,-16,1,20000,20000
62ea33a41505f8c1cf2b8b13,-2,1,198000,198000
62e4a5891505f85c7c7a7205,-20,1,20000,20000
62dcdeb41505f82107f1a70f,-7,2,20000,40000
62d92a061505f8a5fb0e5ba9,-29,3,29833.33333,89500
62d90b821505f8a5fb0e4108,-12,8,60687.5,485500
62e68e3a1505f85c7c7c1f10,-22,1,20000,20000
62dc1a3b1505f82107f15b8f,-27,1,20000,20000
62e425191505f85c7c7a3b2e,-23,1,20000,20000
62e158011505f86c9bbd2a16,-26,1,20000,20000
62dcc1f91505f82107f19385,-28,1,20000,20000
62dfc6641505f82107f3142d,-25,1,20000,20000
62dbf2131505f82107f13efc,-26,3,148500,445500
62f4994c1505f8c1cf2fc825,-10,1,20000,20000
62d8dc531505f84bf05519a4,-32,1,20000,20000
62da402d1505f8a5fb0ee2a1,-26,2,49500,99000
62d8eeb61505f84bf05522c7,-32,1,20000,20000
62dd22d91505f82107f1d239,-4,8,29875,239000
62db66b71505f82107f0ee1f,-14,2,59500,119000
62e667441505f85c7c7bf111,-4,7,24214.28571,169500
62f9a5e01505f8cc71ca38c1,-7,1,49500,49500
62e460051505f85c7c7a417f,-18,2,20000,40000
62e618161505f85c7c7ba9a2,-17,2,59500,119000
62e37f921505f86c9bbed094,-7,5,20000,100000
62e64b991505f85c7c7be12f,-22,1,99000,99000
62dff8181505f82107f34106,-27,1,20000,20000
62db6f4b1505f82107f0f32c,-30,1,20000,20000
62d8c9531505f84bf0550ebe,-17,1,20000,20000
62fc9ee81505f80c8080e742,-4,1,20000,20000
62eb5a121505f8c1cf2c1d1d,-18,1,99000,99000
62fa13331505f8cc71ca5eb8,-7,2,20000,40000
62ddfb121505f82107f22078,-1,2,99000,198000
62e334331505f86c9bbe7ea7,-23,2,505000,1010000
62ea0cab1505f8c1cf2b7645,-12,6,89166.66667,535000
62da9ca01505f8a5fb0f1814,-31,1,20000,20000
62dd6c351505f82107f200e9,-28,1,198000,198000
62de3ccc1505f82107f248b3,-28,1,20000,20000
62e78c7b1505f85c7c7cb3d9,-2,3,82500,247500
62e382a21505f86c9bbed365,-24,1,20000,20000
62e648a41505f85c7c7bde01,-15,1,20000,20000
62e358c21505f86c9bbea460,-24,1,20000,20000
62d907a41505f8a5fb0e3b09,-32,1,20000,20000
62f8fdee1505f8cc71ca161f,-7,1,20000,20000
62e29a861505f86c9bbe3582,-23,1,20000,20000
62e864db1505f8c1cf2a9e0f,-4,16,129937.5,2079000
62e50f321505f85c7c7adbdc,-16,2,20000,40000
62e2a2bf1505f86c9bbe40ec,-24,2,20000,40000
62e9bdec1505f8c1cf2b4bc8,-13,4,34750,139000
62e100071505f86c9bbcc0e9,-25,1,20000,20000
62e535651505f85c7c7b0e3b,-12,1,20000,20000
62d83f271505f84bf054ea71,-9,1,20000,20000
62f84d3c1505f8cc71c9c7e2,-2,1,20000,20000
62dc91aa1505f82107f174f8,-24,1,20000,20000
62d884c21505f84bf054f003,-31,1,20000,20000
62e8a0151505f8c1cf2abfe1,-20,1,20000,20000
62d933fc1505f8a5fb0e648f,-8,1,20000,20000
62da36d61505f8a5fb0edd19,-31,1,20000,20000
62d8ca801505f84bf0550f73,-27,1,49500,49500
62e950a61505f8c1cf2b3ad4,-20,1,20000,20000
62e011311505f82107f35700,-27,1,20000,20000
62da98f31505f8a5fb0f1582,-29,2,20000,40000
62dd00181505f82107f1bb55,-29,4,123750,495000
62f936ff1505f8cc71ca2819,-6,1,20000,20000
62e496811505f85c7c7a6350,-18,1,20000,20000
62e1e6f61505f86c9bbd654e,-4,3,79333.33333,238000
62d8b0d61505f84bf05501c0,-30,3,82500,247500
62dab2f01505f8a5fb0f266a,-1,8,247500,1980000
62f4b6a71505f8c1cf2fd7d9,-11,1,20000,20000
62eb32751505f8c1cf2c04e4,-16,3,79333.33333,238000
62da48a31505f8a5fb0ee6d3,-25,1,20000,20000
62f3b1791505f8c1cf2f7b55,-12,1,20000,20000
62fb876d1505f824c3d172f9,-6,1,20000,20000
62e0ece71505f86c9bbcb2d6,-26,3,20000,60000
62dd3cb51505f82107f1e403,-8,9,32055.55556,288500
62dbd2bc1505f82107f1295f,-30,1,20000,20000
62f6f74d1505f8cc71c95a4e,-2,1,20000,20000
62e0df0f1505f86c9bbca91f,-26,1,20000,20000
62e411b61505f85c7c7a3560,-17,2,59500,119000
62e55fa21505f85c7c7b3a37,-22,1,20000,20000
62d9fbf61505f8a5fb0ebae0,-5,2,99000,198000
62e171c71505f86c9bbd3ed0,-3,1,20000,20000
62dbd94f1505f82107f12d42,-20,1,20000,20000
6300d9a81505f8fb5aa58afa,-1,1,20000,20000
62daa5091505f8a5fb0f1e20,-2,1,20000,20000
62d8abd51505f84bf054ff05,-4,1,20000,20000
62fb0a321505f824c3d14a6f,-6,1,20000,20000
62e1e8681505f86c9bbd66ce,-9,4,20000,80000
62db908c1505f82107f1066c,-24,1,20000,20000
62d966f31505f8a5fb0e91a0,-20,2,20000,40000
62f372f31505f8c1cf2f5790,-10,1,20000,20000
62d8e8821505f84bf0552042,-32,1,20000,20000
62dea9c81505f82107f28dfa,-26,2,20000,40000
62df7cc51505f82107f2dddf,-27,1,49500,49500
62d909551505f8a5fb0e3e4c,-21,1,20000,20000
62e14cc81505f86c9bbd1cb5,-20,1,20000,20000
62f1b8f11505f8c1cf2e95aa,-1,3,39666.66667,119000
62d91e4a1505f8a5fb0e5250,-31,1,20000,20000
62e1fa251505f86c9bbd7826,-12,5,51600,258000
62e67d461505f85c7c7c08b3,-22,1,20000,20000
62e26ee91505f86c9bbdfa97,-19,1,20000,20000
62e0cc931505f86c9bbc9af6,-26,1,20000,20000
62f3e1a91505f8c1cf2f8db5,-11,1,20000,20000
62eb128d1505f8c1cf2bed98,-5,7,20000,140000
62d907df1505f8a5fb0e3bbc,-26,1,20000,20000
62de70021505f82107f2641a,-28,1,20000,20000
62df920e1505f82107f2edcf,-14,1,20000,20000
62efb27e1505f8c1cf2de4f9,-13,1,20000,20000
62de83671505f82107f26fd5,-28,1,20000,20000
62da4c201505f8a5fb0ee8b6,-20,1,20000,20000
62e7a1b51505f8c1cf2a450f,-21,1,20000,20000
62e235041505f86c9bbdbd2e,-22,2,59500,119000
62dc289e1505f82107f16208,-29,2,49500,99000
62f5d02f1505f8cc71c8ffbe,-1,4,34750,139000
62f7a2671505f8cc71c99bfd,-7,2,20000,40000
62ea65691505f8c1cf2ba5d8,-17,2,257500,515000
62df6de31505f82107f2d12a,-26,1,20000,20000
62d8a1ed1505f84bf054fa5a,-32,1,20000,20000
62f40cbc1505f8c1cf2f94fc,-6,1,20000,20000
62f70b5f1505f8cc71c960a5,-9,1,20000,20000
62ded42f1505f82107f2a28b,-27,1,20000,20000
62ee47221505f8c1cf2d480f,-16,1,20000,20000
62e23e801505f86c9bbdc6b1,-25,1,20000,20000
62d893511505f84bf054f409,-32,1,20000,20000
62d9fa8b1505f8a5fb0eba13,-31,1,20000,20000
62d8cf051505f84bf05511fa,-3,1,20000,20000
62dfb1531505f82107f30412,-27,1,20000,20000
6300d64e1505f8fb5aa5895b,-1,5,67400,337000
62ebab131505f8c1cf2c4940,-17,1,20000,20000
62eaec1f1505f8c1cf2bdf5d,-18,1,20000,20000
62e4eb1a1505f85c7c7ab965,-13,7,118857.1429,832000
62d92f6b1505f8a5fb0e609d,-32,1,20000,20000
62e0f4c01505f86c9bbcb8b8,-26,1,20000,20000
62db05141505f82107f0d258,-15,1,20000,20000
62d899f91505f84bf054f676,-2,38,156592.1053,5950500
62d8b5d01505f84bf0550443,-29,2,59500,119000
62f619411505f8cc71c91d39,-9,1,20000,20000
62e981e61505f8c1cf2b4345,-12,1,20000,20000
62fb4b6b1505f824c3d160b6,-6,1,99000,99000
62f0e5dd1505f8c1cf2e5e15,-14,1,99000,99000
62fa028e1505f8cc71ca597f,-7,1,20000,20000
62d840d11505f84bf054eab4,-30,6,20000,120000
62f0e4b71505f8c1cf2e5daf,-10,1,495000,495000
630100901505f8fb5aa59be6,-1,1,20000,20000
62e3d33c1505f86c9bbf1d3f,-15,2,109000,218000
62edb9481505f8c1cf2d01f5,-16,1,20000,20000
62dfcd051505f82107f31904,-26,1,20000,20000
62ee13891505f8c1cf2d2e91,-14,1,20000,20000
62dd8cbf1505f82107f20a60,-28,1,20000,20000
62e6a5a21505f85c7c7c371c,-22,1,20000,20000
62df84f31505f82107f2e479,-17,4,178250,713000
62e3f9381505f86c9bbf4a84,-24,1,99000,99000
62dbb34d1505f82107f117ea,-2,3,56166.66667,168500
62e637b21505f85c7c7bcb7c,-22,1,20000,20000
62eb11bd1505f8c1cf2becd9,-5,1,20000,20000
62dcdc831505f82107f1a5bd,-29,1,20000,20000
62dfd6421505f82107f3207e,-12,8,31062.5,248500
62fd066c1505f8fb5aa4b076,-5,1,20000,20000
62d92e4e1505f8a5fb0e5fa8,-13,1,20000,20000
62ecc0b81505f8c1cf2caf5c,-5,2,20000,40000
62f9389b1505f8cc71ca284e,-7,1,20000,20000
62fd5aa21505f8fb5aa4bb7e,-4,1,1980000,1980000
62dea48e1505f82107f28999,-24,4,64500,258000
62da51cd1505f8a5fb0eeb4f,-15,15,70700,1060500
62da7b7e1505f8a5fb0f01e4,-15,1,20000,20000
62e947cc1505f8c1cf2b3743,-18,1,20000,20000
62de769b1505f82107f267fc,-23,1,20000,20000
62dc01d31505f82107f14a3a,-18,1,20000,20000
62f124aa1505f8c1cf2e7645,-14,1,20000,20000
62dec7661505f82107f29eaa,-27,1,20000,20000
62dfe9ae1505f82107f33218,-26,1,20000,20000
62dfd9461505f82107f322f9,-27,1,20000,20000
62dbc85f1505f82107f1232f,-17,1,20000,20000
630107311505f8fb5aa59e07,-2,1,20000,20000
62e7b6321505f8c1cf2a53d5,-20,1,20000,20000
62e04a141505f87948c22c6b,-23,1,20000,20000
62deead71505f82107f2a61b,-20,1,20000,20000
62de954a1505f82107f27d00,-27,1,20000,20000
62f093821505f8c1cf2e3804,-1,10,97100,971000
62f928851505f8cc71ca256b,-6,1,20000,20000
62f749fe1505f8cc71c979a3,-6,1,20000,20000
62d913b81505f8a5fb0e4953,-11,13,61000,793000
62d8c6ea1505f84bf0550d7e,-28,1,20000,20000
62d912e41505f8a5fb0e4878,-18,7,79285.71429,555000
62edf2f11505f8c1cf2d1e49,-16,1,20000,20000
62e0b4af1505f86c9bbc87aa,-11,4,39750,159000
62e5e1891505f85c7c7b6889,-16,1,20000,20000
62d89ac41505f84bf054f6dd,-11,7,97642.85714,683500
62f0842e1505f8c1cf2e2f5a,-14,1,20000,20000
62d8e4791505f84bf0551e4f,-17,1,99000,99000
62f8edd31505f8cc71ca0dc9,-8,1,20000,20000
62d931c11505f8a5fb0e62b9,-26,1,20000,20000
62e8dac91505f8c1cf2ae936,-4,10,39700,397000
62df231e1505f82107f2aad3,-25,1,20000,20000
62df83751505f82107f2e338,-4,8,23687.5,189500
62d9d5791505f8a5fb0eacc5,-27,2,20000,40000
62e7f7a81505f8c1cf2a8983,-12,1,20000,20000
62e15ef01505f86c9bbd3127,-25,1,20000,20000
62da27011505f8a5fb0ed351,-31,1,20000,20000
62d8d19f1505f84bf0551384,-31,1,20000,20000
62f49c311505f8c1cf2fc9bc,-10,1,20000,20000
62db55821505f82107f0e483,-7,4,309375,1237500
62e136281505f86c9bbcfc0a,-5,1,20000,20000
62f5edd71505f8cc71c90c77,-5,2,34750,69500
62fb600f1505f824c3d16744,-2,4,84250,337000
62dd6e5a1505f82107f201ec,-4,1,20000,20000
62d93cc11505f8a5fb0e6b9a,-32,1,49500,49500
62d992091505f8a5fb0ea4fe,-6,1,20000,20000
62e3edd81505f86c9bbf3df9,-10,7,75071.42857,525500
62e0fbe41505f86c9bbcbdc5,-14,1,99000,99000
62da2bf11505f8a5fb0ed62d,-31,1,20000,20000
